Tag,Count,Proportion
java,37,0.10033354123166201
c++,21,0.05694606394229466
performance,10,0.0271171733058546
optimization,4,0.01084686932234184
branch-prediction,2,0.00542343466117092
git,88,0.23863112509152049
version-control,17,0.04609919461995282
git-commit,6,0.01627030398351276
undo,5,0.0135585866529273
git,88,0.23863112509152049
version-control,17,0.04609919461995282
git-branch,19,0.05152262928112373
git-push,5,0.0135585866529273
git-remote,5,0.0135585866529273
git,88,0.23863112509152049
version-control,17,0.04609919461995282
git-pull,4,0.01084686932234184
git-fetch,5,0.0135585866529273
python,72,0.19524364780215311
iterator,2,0.00542343466117092
generator,2,0.00542343466117092
yield,2,0.00542343466117092
coroutine,2,0.00542343466117092
json,10,0.0271171733058546
http-headers,4,0.01084686932234184
content-type,2,0.00542343466117092
git,88,0.23863112509152049
c++,21,0.05694606394229466
c,7,0.018982021314098218
operators,11,0.02982889063644006
code-formatting,2,0.00542343466117092
standards-compliance,2,0.00542343466117092
git,88,0.23863112509152049
version-control,17,0.04609919461995282
git-branch,19,0.05152262928112373
javascript,115,0.3118474930173279
arrays,17,0.04609919461995282
memory-management,2,0.00542343466117092
stack,2,0.00542343466117092
language-agnostic,7,0.018982021314098218
heap,2,0.00542343466117092
dynamic-memory-allocation,2,0.00542343466117092
json,10,0.0271171733058546
comments,2,0.00542343466117092
javascript,115,0.3118474930173279
jquery,30,0.08135151991756379
dom,5,0.0135585866529273
visibility,2,0.00542343466117092
html,25,0.06779293326463649
browser,5,0.0135585866529273
background-color,2,0.00542343466117092
javascript,115,0.3118474930173279
syntax,7,0.018982021314098218
jslint,2,0.00542343466117092
use-strict,2,0.00542343466117092
git,88,0.23863112509152049
version-control,17,0.04609919461995282
overwrite,2,0.00542343466117092
git-pull,4,0.01084686932234184
git-fetch,5,0.0135585866529273
javascript,115,0.3118474930173279
jquery,30,0.08135151991756379
redirect,3,0.00813515199175638
git,88,0.23863112509152049
git-commit,6,0.01627030398351276
git-rewrite-history,4,0.01084686932234184
git-amend,2,0.00542343466117092
javascript,115,0.3118474930173279
function,7,0.018982021314098218
variables,5,0.0135585866529273
scope,6,0.01627030398351276
closures,3,0.00813515199175638
git,88,0.23863112509152049
git-checkout,7,0.018982021314098218
git-reset,4,0.01084686932234184
git-revert,2,0.00542343466117092
javascript,115,0.3118474930173279
string,23,0.06236949860346558
substring,6,0.01627030398351276
string-matching,3,0.00813515199175638
git,88,0.23863112509152049
branch,9,0.02440545597526914
git-branch,19,0.05152262928112373
git,88,0.23863112509152049
git-checkout,7,0.018982021314098218
remote-branch,3,0.00813515199175638
javascript,115,0.3118474930173279
function,7,0.018982021314098218
syntax,7,0.018982021314098218
idioms,4,0.01084686932234184
java,37,0.10033354123166201
methods,3,0.00813515199175638
parameter-passing,4,0.01084686932234184
pass-by-reference,3,0.00813515199175638
pass-by-value,2,0.00542343466117092
c#,17,0.04609919461995282
.net,12,0.03254060796702552
string,23,0.06236949860346558
types,3,0.00813515199175638
alias,2,0.00542343466117092
python,72,0.19524364780215311
namespaces,4,0.01084686932234184
main,2,0.00542343466117092
python-module,2,0.00542343466117092
idioms,4,0.01084686932234184
python,72,0.19524364780215311
operators,11,0.02982889063644006
ternary-operator,2,0.00542343466117092
conditional-operator,2,0.00542343466117092
javascript,115,0.3118474930173279
javascript-objects,8,0.02169373864468368
python,72,0.19524364780215311
oop,7,0.018982021314098218
metaclass,2,0.00542343466117092
python-class,2,0.00542343466117092
python-datamodel,2,0.00542343466117092
android,15,0.04067575995878189
android-layout,2,0.00542343466117092
user-interface,3,0.00813515199175638
dimension,2,0.00542343466117092
units-of-measurement,2,0.00542343466117092
python,72,0.19524364780215311
file,6,0.01627030398351276
file-exists,2,0.00542343466117092
git,88,0.23863112509152049
gitignore,5,0.0135585866529273
git-rm,5,0.0135585866529273
javascript,115,0.3118474930173279
jquery,30,0.08135151991756379
ajax,6,0.01627030398351276
asynchronous,3,0.00813515199175638
linux,7,0.018982021314098218
text,2,0.00542343466117092
grep,3,0.00813515199175638
directory,10,0.0271171733058546
find,2,0.00542343466117092
javascript,115,0.3118474930173279
operators,11,0.02982889063644006
equality,2,0.00542343466117092
equality-operator,2,0.00542343466117092
identity-operator,2,0.00542343466117092
http,10,0.0271171733058546
rest,5,0.0135585866529273
post,2,0.00542343466117092
put,2,0.00542343466117092
javascript,115,0.3118474930173279
file,6,0.01627030398351276
import,3,0.00813515199175638
include,3,0.00813515199175638
css,20,0.0542343466117092
cross-browser,3,0.00813515199175638
highlight,3,0.00813515199175638
textselection,2,0.00542343466117092
security,5,0.0135585866529273
http,10,0.0271171733058546
authentication,3,0.00813515199175638
language-agnostic,7,0.018982021314098218
article,2,0.00542343466117092
python,72,0.19524364780215311
dictionary,11,0.02982889063644006
merge,2,0.00542343466117092
git,88,0.23863112509152049
git-branch,19,0.05152262928112373
branching-and-merging,3,0.00813515199175638
bash,13,0.03525232529761098
directory,10,0.0271171733058546
javascript,115,0.3118474930173279
object,6,0.01627030398351276
clone,5,0.0135585866529273
python,72,0.19524364780215311
shell,11,0.02982889063644006
terminal,4,0.01084686932234184
subprocess,2,0.00542343466117092
command,2,0.00542343466117092
git,88,0.23863112509152049
version-control,17,0.04609919461995282
http,10,0.0271171733058546
url,10,0.0271171733058546
browser,5,0.0135585866529273
algorithm,6,0.01627030398351276
complexity-theory,2,0.00542343466117092
computer-science,2,0.00542343466117092
big-o,3,0.00813515199175638
time-complexity,4,0.01084686932234184
git,88,0.23863112509152049
git-merge,5,0.0135585866529273
merge-conflict-resolution,2,0.00542343466117092
git-merge-conflict,3,0.00813515199175638
java,37,0.10033354123166201
c++,21,0.05694606394229466
performance,10,0.0271171733058546
optimization,4,0.01084686932234184
branch-prediction,2,0.00542343466117092
git,88,0.23863112509152049
version-control,17,0.04609919461995282
git-commit,6,0.01627030398351276
undo,5,0.0135585866529273
git,88,0.23863112509152049
version-control,17,0.04609919461995282
git-branch,19,0.05152262928112373
git-push,5,0.0135585866529273
git-remote,5,0.0135585866529273
git,88,0.23863112509152049
version-control,17,0.04609919461995282
git-pull,4,0.01084686932234184
git-fetch,5,0.0135585866529273
python,72,0.19524364780215311
iterator,2,0.00542343466117092
generator,2,0.00542343466117092
yield,2,0.00542343466117092
coroutine,2,0.00542343466117092
json,10,0.0271171733058546
http-headers,4,0.01084686932234184
content-type,2,0.00542343466117092
git,88,0.23863112509152049
c++,21,0.05694606394229466
c,7,0.018982021314098218
operators,11,0.02982889063644006
code-formatting,2,0.00542343466117092
standards-compliance,2,0.00542343466117092
git,88,0.23863112509152049
version-control,17,0.04609919461995282
git-branch,19,0.05152262928112373
javascript,115,0.3118474930173279
arrays,17,0.04609919461995282
memory-management,2,0.00542343466117092
stack,2,0.00542343466117092
language-agnostic,7,0.018982021314098218
heap,2,0.00542343466117092
dynamic-memory-allocation,2,0.00542343466117092
json,10,0.0271171733058546
comments,2,0.00542343466117092
javascript,115,0.3118474930173279
jquery,30,0.08135151991756379
dom,5,0.0135585866529273
visibility,2,0.00542343466117092
html,25,0.06779293326463649
browser,5,0.0135585866529273
background-color,2,0.00542343466117092
javascript,115,0.3118474930173279
syntax,7,0.018982021314098218
jslint,2,0.00542343466117092
use-strict,2,0.00542343466117092
git,88,0.23863112509152049
version-control,17,0.04609919461995282
overwrite,2,0.00542343466117092
git-pull,4,0.01084686932234184
git-fetch,5,0.0135585866529273
javascript,115,0.3118474930173279
jquery,30,0.08135151991756379
redirect,3,0.00813515199175638
git,88,0.23863112509152049
git-commit,6,0.01627030398351276
git-rewrite-history,4,0.01084686932234184
git-amend,2,0.00542343466117092
javascript,115,0.3118474930173279
function,7,0.018982021314098218
variables,5,0.0135585866529273
scope,6,0.01627030398351276
closures,3,0.00813515199175638
git,88,0.23863112509152049
git-checkout,7,0.018982021314098218
git-reset,4,0.01084686932234184
git-revert,2,0.00542343466117092
javascript,115,0.3118474930173279
string,23,0.06236949860346558
substring,6,0.01627030398351276
string-matching,3,0.00813515199175638
git,88,0.23863112509152049
branch,9,0.02440545597526914
git-branch,19,0.05152262928112373
git,88,0.23863112509152049
git-checkout,7,0.018982021314098218
remote-branch,3,0.00813515199175638
javascript,115,0.3118474930173279
function,7,0.018982021314098218
syntax,7,0.018982021314098218
idioms,4,0.01084686932234184
java,37,0.10033354123166201
methods,3,0.00813515199175638
parameter-passing,4,0.01084686932234184
pass-by-reference,3,0.00813515199175638
pass-by-value,2,0.00542343466117092
c#,17,0.04609919461995282
.net,12,0.03254060796702552
string,23,0.06236949860346558
types,3,0.00813515199175638
alias,2,0.00542343466117092
python,72,0.19524364780215311
namespaces,4,0.01084686932234184
main,2,0.00542343466117092
python-module,2,0.00542343466117092
idioms,4,0.01084686932234184
python,72,0.19524364780215311
operators,11,0.02982889063644006
ternary-operator,2,0.00542343466117092
conditional-operator,2,0.00542343466117092
javascript,115,0.3118474930173279
javascript-objects,8,0.02169373864468368
python,72,0.19524364780215311
oop,7,0.018982021314098218
metaclass,2,0.00542343466117092
python-class,2,0.00542343466117092
python-datamodel,2,0.00542343466117092
android,15,0.04067575995878189
android-layout,2,0.00542343466117092
user-interface,3,0.00813515199175638
dimension,2,0.00542343466117092
units-of-measurement,2,0.00542343466117092
python,72,0.19524364780215311
file,6,0.01627030398351276
file-exists,2,0.00542343466117092
git,88,0.23863112509152049
gitignore,5,0.0135585866529273
git-rm,5,0.0135585866529273
javascript,115,0.3118474930173279
jquery,30,0.08135151991756379
ajax,6,0.01627030398351276
asynchronous,3,0.00813515199175638
linux,7,0.018982021314098218
text,2,0.00542343466117092
grep,3,0.00813515199175638
directory,10,0.0271171733058546
find,2,0.00542343466117092
javascript,115,0.3118474930173279
operators,11,0.02982889063644006
equality,2,0.00542343466117092
equality-operator,2,0.00542343466117092
identity-operator,2,0.00542343466117092
http,10,0.0271171733058546
rest,5,0.0135585866529273
post,2,0.00542343466117092
put,2,0.00542343466117092
javascript,115,0.3118474930173279
file,6,0.01627030398351276
import,3,0.00813515199175638
include,3,0.00813515199175638
css,20,0.0542343466117092
cross-browser,3,0.00813515199175638
highlight,3,0.00813515199175638
textselection,2,0.00542343466117092
security,5,0.0135585866529273
http,10,0.0271171733058546
authentication,3,0.00813515199175638
language-agnostic,7,0.018982021314098218
article,2,0.00542343466117092
python,72,0.19524364780215311
dictionary,11,0.02982889063644006
merge,2,0.00542343466117092
git,88,0.23863112509152049
git-branch,19,0.05152262928112373
branching-and-merging,3,0.00813515199175638
bash,13,0.03525232529761098
directory,10,0.0271171733058546
javascript,115,0.3118474930173279
object,6,0.01627030398351276
clone,5,0.0135585866529273
python,72,0.19524364780215311
shell,11,0.02982889063644006
terminal,4,0.01084686932234184
subprocess,2,0.00542343466117092
command,2,0.00542343466117092
git,88,0.23863112509152049
version-control,17,0.04609919461995282
http,10,0.0271171733058546
url,10,0.0271171733058546
browser,5,0.0135585866529273
algorithm,6,0.01627030398351276
complexity-theory,2,0.00542343466117092
computer-science,2,0.00542343466117092
big-o,3,0.00813515199175638
time-complexity,4,0.01084686932234184
git,88,0.23863112509152049
git-merge,5,0.0135585866529273
merge-conflict-resolution,2,0.00542343466117092
git-merge-conflict,3,0.00813515199175638
javascript,115,0.3118474930173279
scope,6,0.01627030398351276
ecmascript-6,2,0.00542343466117092
var,2,0.00542343466117092
let,1,0.00271171733058546
javascript,115,0.3118474930173279
arrays,17,0.04609919461995282
loops,13,0.03525232529761098
foreach,2,0.00542343466117092
iteration,5,0.0135585866529273
sql,9,0.02440545597526914
database,2,0.00542343466117092
join,1,0.00271171733058546
inner-join,1,0.00271171733058546
outer-join,1,0.00271171733058546
git,88,0.23863112509152049
version-control,17,0.04609919461995282
git-checkout,7,0.018982021314098218
javascript,115,0.3118474930173279
jquery,30,0.08135151991756379
html,25,0.06779293326463649
checkbox,2,0.00542343466117092
javascript,115,0.3118474930173279
regex,4,0.01084686932234184
validation,3,0.00813515199175638
email,2,0.00542343466117092
email-validation,2,0.00542343466117092
javascript,115,0.3118474930173279
string,23,0.06236949860346558
replace,3,0.00813515199175638
apache-flex,1,0.00271171733058546
actionscript,1,0.00271171733058546
soap,1,0.00271171733058546
coldfusion,1,0.00271171733058546
wsdl,1,0.00271171733058546
php,9,0.02440545597526914
arguments,4,0.01084686932234184
logic,2,0.00542343466117092
operators,11,0.02982889063644006
symbols,1,0.00271171733058546
git,88,0.23863112509152049
repository,3,0.00813515199175638
git-branch,19,0.05152262928112373
